,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('text', 'голодный')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'быстрянка')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'подвозиться')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'понесма')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.197668e-10,0.0,0.0,0.0,0.0,0.0,0.00015489747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'сл')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'некритичный')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'крыльцо')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'шукшин')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030979785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'тракт')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011395405,0.0,0.0,0.0,0.0,0.0,4.398399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'чуйский')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011395392,0.0,0.0,0.0,0.0,0.0,4.398428e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'суртайка')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015489892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'какомуть')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015455534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4200974e-07
"('text', 'прочтта')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015473891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0586002e-07
"('text', 'спо')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015454867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5058047e-07
"('text', 'мотивация')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'относить')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', '50х')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4574114e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039854602
"('text', 'математика')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('text', 'отменяться')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
